gene_symbol,entrez_id,probe_name
COL15A1,1306,A_23_P112554
COL16A1,1307,CUST_9288_PI416261804
COL16A1,1307,A_23_P160318
COL17A1,1308,A_23_P52323
COL17A1,1308,A_23_P501010
COL19A1,1310,CUST_11081_PI416261804
COL19A1,1310,A_23_P375922
COMP,1311,A_23_P90436
COMP,1311,A_24_P264943
SLC31A1,1317,A_24_P321068
SLC31A1,1317,A_23_P253405
SLC31A1,1317,A_24_P252667
SLC31A1,1317,A_24_P928901
SLC31A2,1318,CUST_13493_PI416261804
SLC31A2,1318,A_23_P217109
MAP3K8,1326,CUST_12305_PI416261804
MAP3K8,1326,A_23_P23947
COX4I1,1327,A_23_P141032
COX5B,1329,A_23_P51069
COX6A1,1337,CUST_6236_PI416261804
COX6A1,1337,A_32_P168247
COX6A2,1339,CUST_1885_PI416261804
COX6A2,1339,CUST_204_PI416408490
COX6A2,1339,A_23_P401524
COX6B1,1340,CUST_11383_PI416261804
COX6B1,1340,A_23_P108244
COX6C,1345,A_23_P8900
COX6C,1345,A_32_P212817
COX7A1,1346,CUST_9082_PI416261804
COX7A1,1346,A_23_P67661
COX7A2,1347,CUST_1041_PI416261804
COX7A2,1347,A_23_P81690
COX7B,1349,A_23_P159650
COX7C,1350,A_23_P110811
COX8A,1351,CUST_10793_PI416261804
COX8A,1351,A_23_P52639
COX10,1352,CUST_12555_PI416261804
COX10,1352,A_23_P55123
COX11,1353,A_24_P213110
COX11,1353,A_23_P152666
COX11,1353,A_23_P118493
COX11,1353,A_24_P73943
COX15,1355,CUST_8412_PI416261804
COX15,1355,A_24_P115700
CP,1356,A_23_P40817
CP,1356,A_23_P414793
CPA1,1357,CUST_9731_PI416261804
CPA1,1357,A_23_P168357
CPA2,1358,CUST_8766_PI416261804
CPA2,1358,A_23_P31161
CPA3,1359,CUST_10547_PI416261804
CPA3,1359,A_23_P18017
CPB1,1360,CUST_7906_PI416261804
CPB1,1360,A_23_P6615
CPB2,1361,CUST_15732_PI416261804
CPB2,1361,CUST_15727_PI416261804
CPB2,1361,A_23_P36901
CPD,1362,A_23_P207837
CPD,1362,A_24_P53282
CPE,1363,A_32_P34372
CPE,1363,A_23_P259442
CLDN4,1364,A_24_P115183
CLDN4,1364,CUST_3188_PI416261804
CLDN4,1364,CUST_15270_PI416261804
CLDN3,1365,A_24_P35109
CLDN3,1365,A_23_P71017
CLDN7,1366,CUST_16125_PI416261804
CLDN7,1366,A_23_P164284
CPN1,1369,CUST_12182_PI416261804
CPN1,1369,A_23_P98147
CPOX,1371,CUST_14581_PI416261804
CPOX,1371,A_23_P144179
CPT1A,1374,A_24_P347065
CPT2,1376,CUST_13168_PI416261804
CPT2,1376,A_23_P148919
CR2,1380,CUST_15796_PI416261804
CRABP1,1381,CUST_12215_PI416261804
CRABP1,1381,A_23_P117882
CRABP2,1382,CUST_12079_PI416261804
CRABP2,1382,A_23_P115064
CREB1,1385,A_24_P105721
CX3CR1,1524,CUST_16271_PI416261804
CX3CR1,1524,A_23_P407565
CXADR,1525,A_24_P374943
CXADR,1525,A_23_P57268
CXADR,1525,A_32_P29632
TEX28,1527,CUST_14301_PI416261804
TEX28,1527,A_23_P257936
CYB5A,1528,CUST_5890_PI416261804
CYB5A,1528,A_23_P101208
CYBA,1535,CUST_176_PI417507815
CYBA,1535,A_23_P163506
CYBB,1536,A_23_P217258
CYBB,1536,A_24_P365767
CYC1,1537,CUST_1560_PI416261804
CYC1,1537,A_23_P20980
CYLC2,1539,CUST_10019_PI416261804
CYLC2,1539,A_24_P158285
CYLD,1540,A_24_P48078
CYLD,1540,A_23_P65996
CYP1A1,1543,CUST_16902_PI416261804
CYP1A1,1543,A_23_P163402
CYP1A2,1544,A_23_P206113
CYP1A2,1544,A_23_P206110
CYP1B1,1545,CUST_15785_PI416261804
CYP1B1,1545,A_23_P209625
CYP2A6,1548,CUST_16432_PI416261804
CYP2A6,1548,A_23_P16122
CYP3A7,1551,CUST_15814_PI416261804
CYP3A7,1551,A_23_P358917
CYP2A13,1553,CUST_16418_PI416261804
CYP2A13,1553,A_23_P55779
CYP2B6,1555,A_23_P208373
CYP2B6,1555,A_24_P339514
CYP2C19,1557,A_23_P158481
CYP2C19,1557,A_23_P158484
CYP2C8,1558,CUST_15933_PI416261804
CYP2C8,1558,A_23_P161368
CYP2C9,1559,A_23_P12767
CYP2E1,1571,A_24_P394940
CYP2E1,1571,A_23_P98002
CYP2F1,1572,A_23_P78585
CYP2F1,1572,A_23_P89981
CYP2J2,1573,CUST_13857_PI416261804
CYP2J2,1573,A_23_P103486
CYP3A4,1576,CUST_15967_PI416261804
CYP3A4,1576,A_24_P389251
CYP3A5,1577,CUST_15804_PI416261804
CYP3A5,1577,A_23_P8801
CYP4A11,1579,A_24_P191013
CYP7A1,1581,CUST_16038_PI416261804
CYP7A1,1581,A_23_P146198
CYP8B1,1582,CUST_8133_PI416261804
CYP8B1,1582,A_24_P208704
CYP11B1,1584,A_24_P329424
CYP11B1,1584,A_23_P168928
CYP11B2,1585,CUST_15622_PI416261804
CYP11B2,1585,A_23_P215997
CYP17A1,1586,CUST_15855_PI416261804
CYP17A1,1586,A_24_P52597
CYP19A1,1588,A_32_P86289
CYP19A1,1588,A_23_P37410
CYP21A2,1589,A_24_P400473
CYP21A2,1589,CUST_7483_PI416261804
CYP27A1,1593,CUST_243_PI417507815
CYP27A1,1593,A_23_P131308
CYP27B1,1594,CUST_15629_PI416261804
CYP27B1,1594,A_23_P36397
CYP51A1,1595,A_23_P257716
CYP51A1,1595,A_24_P130041
DAB1,1600,CUST_10963_PI416261804
DAB1,1600,A_23_P23850
DAB2,1601,A_32_P166135
DAB2,1601,A_23_P257871
DAD1,1603,A_24_P56462
DAD1,1603,A_24_P47870
DAD1,1603,A_23_P106056
DAG1,1605,A_23_P212579
DAG1,1605,A_24_P225961
DGKB,1607,A_23_P61919
DGKQ,1609,CUST_10884_PI416261804
DGKQ,1609,A_23_P132932
DAO,1610,CUST_15677_PI416261804
DAO,1610,A_23_P139635
DAP,1611,A_24_P243278
DAP,1611,A_23_P92687
DAPK1,1612,A_24_P393449
DAPK1,1612,A_23_P252163
DAPK3,1613,CUST_12147_PI416261804
